title,description,diet_tags
Oatmeal with banana & whey,"Rolled oats, milk, banana, whey protein",balanced
النظام	المرحلة	نوع الوجبة	اسم الوجبة	مكون	كمية (جم)	سعرات حرارية	بروتين (جم)	كربوهيدرات (جم)	دهون (جم)
تنشيف	99	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - تنشيف مرحلة 99	لبن زبادي قليل الدسم	277.2	138.6	13.9	16.6	0.7
تنشيف	100	فطار	شوفان - فطار - تنشيف مرحلة 100	شوفان	55.7	208.9	7	37.6	4.2
تنشيف	100	غداء	أرز بسمتي - غداء - تنشيف مرحلة 100	أرز بسمتي	208.9	752.2	12.5	167.2	2.1
تنشيف	100	عشاء	سلطة خضراء - عشاء - تنشيف مرحلة 100	سلطة خضراء	139.3	27.9	1.4	5.6	0
تنشيف	100	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - تنشيف مرحلة 100	مكسرات (لوز)	41.8	242.4	8.4	8.4	20.9
وزن ثابت	1	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 1	بيض مسلوق	100	155	13	1.1	11
وزن ثابت	1	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 1	صدر دجاج مشوي	150	247	46	0	5
وزن ثابت	1	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 1	سمك مشوي	150	232	25	0	14
وزن ثابت	1	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 1	لبن زبادي قليل الدسم	200	100	10	12	0.5
وزن ثابت	2	فطار	شوفان - فطار - وزن ثابت مرحلة 2	شوفان	40.4	151.5	5	27.3	3
وزن ثابت	2	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 2	أرز بسمتي	151.5	545.4	9.1	121.2	1.5
وزن ثابت	2	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 2	سلطة خضراء	101	20.2	1	4	0
وزن ثابت	2	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 2	مكسرات (لوز)	30.3	175.7	6.1	6.1	15.2
وزن ثابت	3	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 3	بيض مسلوق	102	158.1	13.3	1.1	11.2
وزن ثابت	3	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 3	صدر دجاج مشوي	153	251.9	46.9	0	5.1
وزن ثابت	3	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 3	سمك مشوي	153	236.6	25.5	0	14.3
وزن ثابت	3	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 3	لبن زبادي قليل الدسم	204	102	10.2	12.2	0.5
وزن ثابت	4	فطار	شوفان - فطار - وزن ثابت مرحلة 4	شوفان	41.2	154.5	5.2	27.8	3.1
وزن ثابت	4	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 4	أرز بسمتي	154.5	556.2	9.3	123.6	1.5
وزن ثابت	4	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 4	سلطة خضراء	103	20.6	1	4.1	0
وزن ثابت	4	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 4	مكسرات (لوز)	30.9	179.2	6.2	6.2	15.5
وزن ثابت	5	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 5	بيض مسلوق	104	161.2	13.5	1.1	11.4
وزن ثابت	5	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 5	صدر دجاج مشوي	156	256.9	47.8	0	5.2
وزن ثابت	5	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 5	سمك مشوي	156	241.3	26	0	14.6
وزن ثابت	5	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 5	لبن زبادي قليل الدسم	208	104	10.4	12.5	0.5
وزن ثابت	6	فطار	شوفان - فطار - وزن ثابت مرحلة 6	شوفان	42	157.5	5.2	28.4	3.2
وزن ثابت	6	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 6	أرز بسمتي	157.5	567	9.5	126	1.6
وزن ثابت	6	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 6	سلطة خضراء	105	21	1.1	4.2	0
وزن ثابت	6	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 6	مكسرات (لوز)	31.5	182.7	6.3	6.3	15.8
وزن ثابت	7	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 7	بيض مسلوق	106	164.3	13.8	1.2	11.7
وزن ثابت	7	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 7	صدر دجاج مشوي	159	261.8	48.8	0	5.3
وزن ثابت	7	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 7	سمك مشوي	159	245.9	26.5	0	14.8
وزن ثابت	7	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 7	لبن زبادي قليل الدسم	212	106	10.6	12.7	0.5
وزن ثابت	8	فطار	شوفان - فطار - وزن ثابت مرحلة 8	شوفان	42.8	160.5	5.4	28.9	3.2
وزن ثابت	8	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 8	أرز بسمتي	160.5	577.8	9.6	128.4	1.6
وزن ثابت	8	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 8	سلطة خضراء	107	21.4	1.1	4.3	0
وزن ثابت	8	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 8	مكسرات (لوز)	32.1	186.2	6.4	6.4	16.1
وزن ثابت	9	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 9	بيض مسلوق	108	167.4	14	1.2	11.9
وزن ثابت	9	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 9	صدر دجاج مشوي	162	266.8	49.7	0	5.4
وزن ثابت	9	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 9	سمك مشوي	162	250.6	27	0	15.1
وزن ثابت	9	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 9	لبن زبادي قليل الدسم	216	108	10.8	13	0.5
وزن ثابت	10	فطار	شوفان - فطار - وزن ثابت مرحلة 10	شوفان	43.6	163.5	5.5	29.4	3.3
وزن ثابت	10	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 10	أرز بسمتي	163.5	588.6	9.8	130.8	1.6
وزن ثابت	10	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 10	سلطة خضراء	109	21.8	1.1	4.4	0
وزن ثابت	10	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 10	مكسرات (لوز)	32.7	189.7	6.5	6.5	16.4
وزن ثابت	11	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 11	بيض مسلوق	110	170.5	14.3	1.2	12.1
وزن ثابت	11	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 11	صدر دجاج مشوي	165	271.7	50.6	0	5.5
وزن ثابت	11	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 11	سمك مشوي	165	255.2	27.5	0	15.4
وزن ثابت	11	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 11	لبن زبادي قليل الدسم	220	110	11	13.2	0.6
وزن ثابت	12	فطار	شوفان - فطار - وزن ثابت مرحلة 12	شوفان	44.4	166.5	5.6	30	3.3
وزن ثابت	12	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 12	أرز بسمتي	166.5	599.4	10	133.2	1.7
وزن ثابت	12	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 12	سلطة خضراء	111	22.2	1.1	4.4	0
وزن ثابت	12	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 12	مكسرات (لوز)	33.3	193.1	6.7	6.7	16.7
وزن ثابت	13	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 13	بيض مسلوق	112	173.6	14.6	1.2	12.3
وزن ثابت	13	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 13	صدر دجاج مشوي	168	276.6	51.5	0	5.6
وزن ثابت	13	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 13	سمك مشوي	168	259.8	28	0	15.7
وزن ثابت	13	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 13	لبن زبادي قليل الدسم	224	112	11.2	13.4	0.6
وزن ثابت	14	فطار	شوفان - فطار - وزن ثابت مرحلة 14	شوفان	45.2	169.5	5.6	30.5	3.4
وزن ثابت	14	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 14	أرز بسمتي	169.5	610.2	10.2	135.6	1.7
وزن ثابت	14	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 14	سلطة خضراء	113	22.6	1.1	4.5	0
وزن ثابت	14	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 14	مكسرات (لوز)	33.9	196.6	6.8	6.8	16.9
وزن ثابت	15	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 15	بيض مسلوق	114	176.7	14.8	1.3	12.5
وزن ثابت	15	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 15	صدر دجاج مشوي	171	281.6	52.4	0	5.7
وزن ثابت	15	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 15	سمك مشوي	171	264.5	28.5	0	16
وزن ثابت	15	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 15	لبن زبادي قليل الدسم	228	114	11.4	13.7	0.6
وزن ثابت	16	فطار	شوفان - فطار - وزن ثابت مرحلة 16	شوفان	46	172.5	5.8	31	3.4
وزن ثابت	16	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 16	أرز بسمتي	172.5	621	10.3	138	1.7
وزن ثابت	16	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 16	سلطة خضراء	115	23	1.1	4.6	0
وزن ثابت	16	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 16	مكسرات (لوز)	34.5	200.1	6.9	6.9	17.2
وزن ثابت	17	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 17	بيض مسلوق	116	179.8	15.1	1.3	12.8
وزن ثابت	17	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 17	صدر دجاج مشوي	174	286.5	53.4	0	5.8
وزن ثابت	17	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 17	سمك مشوي	174	269.1	29	0	16.2
وزن ثابت	17	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 17	لبن زبادي قليل الدسم	232	116	11.6	13.9	0.6
وزن ثابت	18	فطار	شوفان - فطار - وزن ثابت مرحلة 18	شوفان	46.8	175.5	5.8	31.6	3.5
وزن ثابت	18	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 18	أرز بسمتي	175.5	631.8	10.5	140.4	1.8
وزن ثابت	18	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 18	سلطة خضراء	117	23.4	1.2	4.7	0
وزن ثابت	18	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 18	مكسرات (لوز)	35.1	203.6	7	7	17.5
وزن ثابت	19	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 19	بيض مسلوق	118	182.9	15.3	1.3	13
وزن ثابت	19	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 19	صدر دجاج مشوي	177	291.5	54.3	0	5.9
وزن ثابت	19	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 19	سمك مشوي	177	273.8	29.5	0	16.5
وزن ثابت	19	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 19	لبن زبادي قليل الدسم	236	118	11.8	14.2	0.6
وزن ثابت	20	فطار	شوفان - فطار - وزن ثابت مرحلة 20	شوفان	47.6	178.5	5.9	32.1	3.6
وزن ثابت	20	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 20	أرز بسمتي	178.5	642.6	10.7	142.8	1.8
وزن ثابت	20	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 20	سلطة خضراء	119	23.8	1.2	4.8	0
وزن ثابت	20	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 20	مكسرات (لوز)	35.7	207.1	7.1	7.1	17.8
وزن ثابت	21	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 21	بيض مسلوق	120	186	15.6	1.3	13.2
وزن ثابت	21	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 21	صدر دجاج مشوي	180	296.4	55.2	0	6
وزن ثابت	21	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 21	سمك مشوي	180	278.4	30	0	16.8
وزن ثابت	21	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 21	لبن زبادي قليل الدسم	240	120	12	14.4	0.6
وزن ثابت	22	فطار	شوفان - فطار - وزن ثابت مرحلة 22	شوفان	48.4	181.5	6	32.7	3.6
وزن ثابت	22	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 22	أرز بسمتي	181.5	653.4	10.9	145.2	1.8
وزن ثابت	22	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 22	سلطة خضراء	121	24.2	1.2	4.8	0
وزن ثابت	22	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 22	مكسرات (لوز)	36.3	210.5	7.3	7.3	18.1
وزن ثابت	23	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 23	بيض مسلوق	122	189.1	15.9	1.3	13.4
وزن ثابت	23	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 23	صدر دجاج مشوي	183	301.3	56.1	0	6.1
وزن ثابت	23	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 23	سمك مشوي	183	283	30.5	0	17.1
وزن ثابت	23	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 23	لبن زبادي قليل الدسم	244	122	12.2	14.6	0.6
وزن ثابت	24	فطار	شوفان - فطار - وزن ثابت مرحلة 24	شوفان	49.2	184.5	6.2	33.2	3.7
وزن ثابت	24	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 24	أرز بسمتي	184.5	664.2	11.1	147.6	1.8
وزن ثابت	24	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 24	سلطة خضراء	123	24.6	1.2	4.9	0
وزن ثابت	24	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 24	مكسرات (لوز)	36.9	214	7.4	7.4	18.4
وزن ثابت	25	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 25	بيض مسلوق	124	192.2	16.1	1.4	13.6
وزن ثابت	25	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 25	صدر دجاج مشوي	186	306.3	57	0	6.2
وزن ثابت	25	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 25	سمك مشوي	186	287.7	31	0	17.4
وزن ثابت	25	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 25	لبن زبادي قليل الدسم	248	124	12.4	14.9	0.6
وزن ثابت	26	فطار	شوفان - فطار - وزن ثابت مرحلة 26	شوفان	50	187.5	6.2	33.8	3.8
وزن ثابت	26	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 26	أرز بسمتي	187.5	675	11.2	150	1.9
وزن ثابت	26	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 26	سلطة خضراء	125	25	1.2	5	0
وزن ثابت	26	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 26	مكسرات (لوز)	37.5	217.5	7.5	7.5	18.8
وزن ثابت	27	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 27	بيض مسلوق	126	195.3	16.4	1.4	13.9
وزن ثابت	27	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 27	صدر دجاج مشوي	189	311.2	58	0	6.3
وزن ثابت	27	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 27	سمك مشوي	189	292.3	31.5	0	17.6
وزن ثابت	27	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 27	لبن زبادي قليل الدسم	252	126	12.6	15.1	0.6
وزن ثابت	28	فطار	شوفان - فطار - وزن ثابت مرحلة 28	شوفان	50.8	190.5	6.3	34.3	3.8
وزن ثابت	28	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 28	أرز بسمتي	190.5	685.8	11.4	152.4	1.9
وزن ثابت	28	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 28	سلطة خضراء	127	25.4	1.3	5.1	0
وزن ثابت	28	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 28	مكسرات (لوز)	38.1	221	7.6	7.6	19.1
وزن ثابت	29	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 29	بيض مسلوق	128	198.4	16.6	1.4	14.1
وزن ثابت	29	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 29	صدر دجاج مشوي	192	316.2	58.9	0	6.4
وزن ثابت	29	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 29	سمك مشوي	192	297	32	0	17.9
وزن ثابت	29	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 29	لبن زبادي قليل الدسم	256	128	12.8	15.4	0.6
وزن ثابت	30	فطار	شوفان - فطار - وزن ثابت مرحلة 30	شوفان	51.6	193.5	6.5	34.8	3.9
وزن ثابت	30	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 30	أرز بسمتي	193.5	696.6	11.6	154.8	1.9
وزن ثابت	30	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 30	سلطة خضراء	129	25.8	1.3	5.2	0
وزن ثابت	30	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 30	مكسرات (لوز)	38.7	224.5	7.7	7.7	19.4
وزن ثابت	31	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 31	بيض مسلوق	130	201.5	16.9	1.4	14.3
وزن ثابت	31	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 31	صدر دجاج مشوي	195	321.1	59.8	0	6.5
وزن ثابت	31	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 31	سمك مشوي	195	301.6	32.5	0	18.2
وزن ثابت	31	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 31	لبن زبادي قليل الدسم	260	130	13	15.6	0.7
وزن ثابت	32	فطار	شوفان - فطار - وزن ثابت مرحلة 32	شوفان	52.4	196.5	6.6	35.4	3.9
وزن ثابت	32	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 32	أرز بسمتي	196.5	707.4	11.8	157.2	2
وزن ثابت	32	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 32	سلطة خضراء	131	26.2	1.3	5.2	0
وزن ثابت	32	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 32	مكسرات (لوز)	39.3	227.9	7.9	7.9	19.7
وزن ثابت	33	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 33	بيض مسلوق	132	204.6	17.2	1.5	14.5
وزن ثابت	33	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 33	صدر دجاج مشوي	198	326	60.7	0	6.6
وزن ثابت	33	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 33	سمك مشوي	198	306.2	33	0	18.5
وزن ثابت	33	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 33	لبن زبادي قليل الدسم	264	132	13.2	15.8	0.7
وزن ثابت	34	فطار	شوفان - فطار - وزن ثابت مرحلة 34	شوفان	53.2	199.5	6.7	35.9	4
وزن ثابت	34	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 34	أرز بسمتي	199.5	718.2	12	159.6	2
وزن ثابت	34	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 34	سلطة خضراء	133	26.6	1.3	5.3	0
وزن ثابت	34	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 34	مكسرات (لوز)	39.9	231.4	8	8	20
وزن ثابت	35	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 35	بيض مسلوق	134	207.7	17.4	1.5	14.7
وزن ثابت	35	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 35	صدر دجاج مشوي	201	331	61.6	0	6.7
وزن ثابت	35	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 35	سمك مشوي	201	310.9	33.5	0	18.8
وزن ثابت	35	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 35	لبن زبادي قليل الدسم	268	134	13.4	16.1	0.7
وزن ثابت	36	فطار	شوفان - فطار - وزن ثابت مرحلة 36	شوفان	54	202.5	6.8	36.5	4.1
وزن ثابت	36	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 36	أرز بسمتي	202.5	729	12.2	162	2
وزن ثابت	36	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 36	سلطة خضراء	135	27	1.4	5.4	0
وزن ثابت	36	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 36	مكسرات (لوز)	40.5	234.9	8.1	8.1	20.2
وزن ثابت	37	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 37	بيض مسلوق	136	210.8	17.7	1.5	15
وزن ثابت	37	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 37	صدر دجاج مشوي	204	335.9	62.6	0	6.8
وزن ثابت	37	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 37	سمك مشوي	204	315.5	34	0	19
وزن ثابت	37	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 37	لبن زبادي قليل الدسم	272	136	13.6	16.3	0.7
وزن ثابت	38	فطار	شوفان - فطار - وزن ثابت مرحلة 38	شوفان	54.8	205.5	6.9	37	4.1
وزن ثابت	38	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 38	أرز بسمتي	205.5	739.8	12.3	164.4	2.1
وزن ثابت	38	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 38	سلطة خضراء	137	27.4	1.4	5.5	0
وزن ثابت	38	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 38	مكسرات (لوز)	41.1	238.4	8.2	8.2	20.6
وزن ثابت	39	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 39	بيض مسلوق	138	213.9	17.9	1.5	15.2
وزن ثابت	39	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 39	صدر دجاج مشوي	207	340.9	63.5	0	6.9
وزن ثابت	39	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 39	سمك مشوي	207	320.2	34.5	0	19.3
وزن ثابت	39	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 39	لبن زبادي قليل الدسم	276	138	13.8	16.6	0.7
وزن ثابت	40	فطار	شوفان - فطار - وزن ثابت مرحلة 40	شوفان	55.6	208.5	7	37.5	4.2
وزن ثابت	40	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 40	أرز بسمتي	208.5	750.6	12.5	166.8	2.1
وزن ثابت	40	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 40	سلطة خضراء	139	27.8	1.4	5.6	0
وزن ثابت	40	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 40	مكسرات (لوز)	41.7	241.9	8.3	8.3	20.9
وزن ثابت	41	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 41	بيض مسلوق	140	217	18.2	1.5	15.4
وزن ثابت	41	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 41	صدر دجاج مشوي	210	345.8	64.4	0	7
وزن ثابت	41	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 41	سمك مشوي	210	324.8	35	0	19.6
وزن ثابت	41	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 41	لبن زبادي قليل الدسم	280	140	14	16.8	0.7
وزن ثابت	42	فطار	شوفان - فطار - وزن ثابت مرحلة 42	شوفان	56.4	211.5	7.1	38.1	4.2
وزن ثابت	42	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 42	أرز بسمتي	211.5	761.4	12.7	169.2	2.1
وزن ثابت	42	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 42	سلطة خضراء	141	28.2	1.4	5.6	0
وزن ثابت	42	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 42	مكسرات (لوز)	42.3	245.3	8.5	8.5	21.2
وزن ثابت	43	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 43	بيض مسلوق	142	220.1	18.5	1.6	15.6
وزن ثابت	43	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 43	صدر دجاج مشوي	213	350.7	65.3	0	7.1
وزن ثابت	43	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 43	سمك مشوي	213	329.4	35.5	0	19.9
وزن ثابت	43	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 43	لبن زبادي قليل الدسم	284	142	14.2	17	0.7
وزن ثابت	44	فطار	شوفان - فطار - وزن ثابت مرحلة 44	شوفان	57.2	214.5	7.1	38.6	4.3
وزن ثابت	44	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 44	أرز بسمتي	214.5	772.2	12.9	171.6	2.1
وزن ثابت	44	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 44	سلطة خضراء	143	28.6	1.4	5.7	0
وزن ثابت	44	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 44	مكسرات (لوز)	42.9	248.8	8.6	8.6	21.4
وزن ثابت	45	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 45	بيض مسلوق	144	223.2	18.7	1.6	15.8
وزن ثابت	45	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 45	صدر دجاج مشوي	216	355.7	66.2	0	7.2
وزن ثابت	45	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 45	سمك مشوي	216	334.1	36	0	20.2
وزن ثابت	45	وجبة إضافية	لبن زبادي قليل الدسم - وجبة إضافية - وزن ثابت مرحلة 45	لبن زبادي قليل الدسم	288	144	14.4	17.3	0.7
وزن ثابت	46	فطار	شوفان - فطار - وزن ثابت مرحلة 46	شوفان	58	217.5	7.2	39.1	4.3
وزن ثابت	46	غداء	أرز بسمتي - غداء - وزن ثابت مرحلة 46	أرز بسمتي	217.5	783	13	174	2.2
وزن ثابت	46	عشاء	سلطة خضراء - عشاء - وزن ثابت مرحلة 46	سلطة خضراء	145	29	1.4	5.8	0
وزن ثابت	46	وجبة إضافية	مكسرات (لوز) - وجبة إضافية - وزن ثابت مرحلة 46	مكسرات (لوز)	43.5	252.3	8.7	8.7	21.8
وزن ثابت	47	فطار	بيض مسلوق - فطار - وزن ثابت مرحلة 47	بيض مسلوق	146	226.3	19	1.6	16.1
وزن ثابت	47	غداء	صدر دجاج مشوي - غداء - وزن ثابت مرحلة 47	صدر دجاج مشوي	219	360.6	67.2	0	7.3
وزن ثابت	47	عشاء	سمك مشوي - عشاء - وزن ثابت مرحلة 47	سمك مشوي	219	338.7	36.5	0	20.4
